Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
21,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,32,1991,4.4,0,4,1,25,0.9,0.23,0,0,0,0,Matches
22,Luis Alfonso Rodríguez,mx MEX,DF,FC Juárez,32,1991,15.6,0,7,0,0,0.45,0,0,,0,0,Matches
23,Guillermo Allison,mx MEX,GK,Querétaro,32,1990,19.8,0,0,0,,0,0,,,0,0,Matches
24,Facundo Almada,ar ARG,DF,Mazatlán,25,1998,34,3,26,7,26.9,0.76,0.21,0.12,0.43,0,0,Matches
25,Román Almanza,mx MEX,FW,León,17,2006,0,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Carlos Alonso Vargas,mx MEX,DF,Cruz Azul,24,1999,0.8,0,0,0,,0,0,,,0,0,Matches
27,Alfonso Alvarado,mx MEX,"FW,MF",León,23,2000,16.5,4,38,18,47.4,2.3,1.09,0.11,0.22,0,0,Matches
28,Roberto Alvarado,mx MEX,"FW,MF",Guadalajara,24,1998,29.4,11,65,27,41.5,2.21,0.92,0.09,0.22,5,5,Matches
29,Ventura Alvarado,us USA,DF,Mazatlán,30,1992,12.7,0,6,0,0,0.47,0,0,,0,0,Matches
30,Alek Álvarez,mx MEX,MF,Necaxa,20,2003,0.1,0,0,0,,0,0,,,0,0,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,29,1994,14.8,0,26,8,30.8,1.76,0.54,0,0,0,0,Matches
32,Efrain Alvarez,mx MEX,"MF,FW",Tijuana,21,2002,10.5,3,22,8,36.4,2.09,0.76,0.14,0.38,0,0,Matches
33,Jaime Alvarez,mx MEX,FW,Tijuana,20,2003,0,0,1,0,0,90,0,0,,0,0,Matches
34,Kevin Álvarez,mx MEX,DF,América,24,1999,21.7,1,18,5,27.8,0.83,0.23,0.06,0.2,0,0,Matches
35,Sergio Álvarez,mx MEX,FW,Atlas,18,2004,0.4,0,2,0,0,5.14,0,0,,0,0,Matches
36,Luis Amarilla,py PAR,FW,Mazatlán,27,1995,23.6,11,49,24,49,2.08,1.02,0.22,0.46,0,0,Matches
37,Fidel Ambríz,mx MEX,MF,León,20,2003,15.8,2,30,8,26.7,1.9,0.51,0.07,0.25,0,0,Matches
38,Bruno Amione,ar ARG,DF,Santos Laguna,21,2002,9.7,1,4,1,25,0.41,0.1,0.25,1,0,0,Matches
39,Esteban Andrada,ar ARG,GK,Monterrey,32,1991,32,0,0,0,,0,0,,,0,0,Matches
40,Alejandro Andrade,mx MEX,MF,Necaxa,21,2001,9.2,3,10,5,50,1.08,0.54,0.3,0.6,0,0,Matches
41,Luis Ángel Malagón,mx MEX,GK,América,26,1997,28.5,0,0,0,,0,0,,,0,0,Matches
42,Brayan Angulo,co COL,DF,Puebla,33,1989,31.4,2,27,9,33.3,0.86,0.29,0.07,0.22,0,0,Matches
43,Jesús Angulo,mx MEX,MF,León,26,1997,1.8,1,3,2,66.7,1.69,1.13,0.33,0.5,0,0,Matches
44,Jesús Angulo,mx MEX,"MF,FW",Toluca,26,1997,17.2,5,33,14,42.4,1.92,0.82,0.15,0.36,0,0,Matches
45,Francisco Antonio Figueroa,mx MEX,MF,Pachuca,24,1999,2.2,0,9,1,11.1,4.03,0.45,0,0,0,0,Matches
46,Francisco Antonio Figueroa,mx MEX,MF,Toluca,24,1999,0.1,0,0,0,,0,0,,,0,0,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,31,1992,27.5,0,0,0,,0,0,,,0,0,Matches
48,Uriel Antuna,mx MEX,"MF,FW",Cruz Azul,25,1997,29.8,13,76,33,43.4,2.55,1.11,0.13,0.3,3,3,Matches
49,Javier Aquino,mx MEX,DF,UANL,33,1990,23.9,0,11,1,9.1,0.46,0.04,0,0,0,0,Matches
50,Pedro Aquino,pe PER,MF,Santos Laguna,28,1995,18.8,1,9,2,22.2,0.48,0.11,0.11,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Maximiliano Araújo,uy URU,"DF,MF",Toluca,23,2000,23.3,3,35,16,45.7,1.5,0.69,0.09,0.19,0,0,Matches
52,Néstor Araujo,mx MEX,DF,América,31,1991,5.9,0,2,0,0,0.34,0,0,,0,0,Matches
53,Fernando Arce Jr.,us USA,MF,Puebla,26,1996,0.7,0,0,0,,0,0,,,0,0,Matches
54,Fernando Arce Jr.,us USA,MF,Necaxa,26,1996,24.4,2,14,7,50,0.57,0.29,0.14,0.29,0,0,Matches
55,Ramiro Árciga,mx MEX,MF,Mazatlán,18,2004,4.1,0,8,5,62.5,1.94,1.21,0,0,0,0,Matches
56,Daniel Armando Ríos,mx MEX,FW,Guadalajara,28,1995,0.8,0,2,1,50,2.61,1.3,0,0,0,0,Matches
57,Eduardo Armenta,mx MEX,"MF,DF",Tijuana,21,2001,9.4,0,10,0,0,1.06,0,0,,0,0,Matches
58,Gerardo Arteaga,mx MEX,DF,Monterrey,24,1998,9.3,3,7,5,71.4,0.75,0.54,0.43,0.6,0,0,Matches
59,Víctor Arteaga,mx MEX,MF,Toluca,19,2004,0.8,0,2,0,0,2.57,0,0,,0,0,Matches
60,Ali Ávila,mx MEX,FW,UNAM,19,2003,1.2,2,3,2,66.7,2.52,1.68,0.67,1,0,0,Matches
61,Ali Ávila,mx MEX,FW,Monterrey,19,2003,3,0,2,1,50,0.67,0.34,0,0,0,0,Matches
62,Ettson Ayon,mx MEX,FW,Querétaro,22,2001,11.4,4,30,6,20,2.63,0.53,0.13,0.67,0,0,Matches
63,Claudio Baeza,cl CHI,MF,Toluca,29,1993,23.6,1,13,3,23.1,0.55,0.13,0.08,0.33,0,0,Matches
64,Kevin Balanta,co COL,DF,Tijuana,26,1997,29.5,0,11,1,9.1,0.37,0.03,0,0,0,0,Matches
65,Carlos Baltazar,mx MEX,"MF,FW",Puebla,26,1997,6.6,1,14,3,21.4,2.11,0.45,0.07,0.33,0,0,Matches
66,Víctor Barajas,mx MEX,FW,León,20,2003,0.4,0,1,0,0,2.65,0,0,,0,0,Matches
67,Miguel Barbieri,ar ARG,DF,Querétaro,29,1993,21.8,0,12,5,41.7,0.55,0.23,0,0,0,0,Matches
68,Diego Barbosa,mx MEX,DF,Tijuana,26,1996,24.4,0,20,3,15,0.82,0.12,0,0,0,0,Matches
69,Martín Barragán,mx MEX,"FW,MF",Puebla,32,1991,13.6,0,46,16,34.8,3.39,1.18,0,0,0,0,Matches
